PLAYER,GP,3PTM,PTS,REB,AST,ST,BLK,TO,FGM,FGA,FTM,FTA,Date
Eric Bledsoe,76.0,0.9,8.7,3.2,3.2,1.0,0.5,1.3,3.3,7.7,1.2,1.5,2022-01-13
Collin Sexton,11.0,1.2,16.6,2.3,2.2,0.8,0.2,2.0,6.0,13.0,3.4,4.3,2022-01-13
Jaden McDaniels,75.0,1.5,10.0,4.8,1.4,0.7,0.8,0.9,3.7,8.8,1.1,1.4,2022-01-13
DeMarcus Cousins,50.0,0.8,9.5,6.6,1.6,0.8,0.6,1.7,3.5,7.9,1.5,2.1,2022-01-13
Rui Hachimura,70.0,0.8,14.0,5.6,1.4,0.8,0.1,1.2,5.5,11.6,2.2,2.9,2022-01-13
Duncan Robinson,80.0,2.8,11.3,3.6,1.7,0.5,0.3,1.1,3.8,9.1,0.9,1.0,2022-01-13
Talen Horton-Tucker,68.0,0.9,10.4,3.1,2.9,1.1,0.4,1.9,3.9,9.0,1.8,2.1,2022-01-13
Garrison Mathews,37.0,2.5,10.9,2.9,0.7,0.9,0.4,0.7,3.6,8.3,1.2,1.5,2022-01-13
Donte DiVincenzo,58.0,1.7,9.0,5.0,2.7,1.0,0.2,1.2,3.3,7.8,0.7,1.0,2022-01-13
Chris Boucher,64.0,1.1,9.3,5.1,0.8,0.4,1.1,0.9,3.4,7.1,1.4,2.0,2022-01-13
Shake Milton,71.0,1.0,10.4,2.2,2.8,0.9,0.4,1.1,4.1,9.1,1.3,1.5,2022-01-13
Khem Birch,64.0,0.1,7.7,5.9,1.3,0.9,0.8,0.7,3.1,6.2,1.4,1.9,2022-01-13
Nickeil Alexander-Walker,71.0,2.1,12.9,4.0,2.3,0.9,0.4,1.5,4.8,11.8,1.2,1.7,2022-01-13
Cameron Payne,70.0,1.1,9.8,2.9,4.4,0.7,0.3,1.2,3.9,9.1,1.0,1.1,2022-01-13
Goran Dragic,44.0,1.6,11.5,3.0,3.9,0.6,0.1,2.2,4.0,9.3,1.8,2.2,2022-01-13
Grant Williams,60.0,1.6,8.0,4.0,1.2,0.4,0.7,1.0,2.8,5.6,0.9,1.1,2022-01-13
Cameron Johnson,72.0,2.2,10.8,3.8,1.2,0.7,0.3,0.8,3.8,9.0,0.9,1.1,2022-01-13
John Wall,26.0,1.2,12.5,2.0,4.5,0.8,0.5,2.2,4.4,10.5,2.5,3.3,2022-01-13
Josh Richardson,67.0,1.1,10.3,2.7,1.4,0.7,0.5,1.1,3.9,8.3,1.4,1.7,2022-01-13
Rajon Rondo,48.0,1.1,7.1,3.9,6.6,1.1,0.2,2.8,2.7,7.6,0.6,0.9,2022-01-13
Max Strus,55.0,2.4,11.1,3.2,1.1,0.5,0.1,0.6,4.0,8.3,0.8,1.0,2022-01-13
Terence Davis,61.0,1.9,11.2,3.3,1.3,0.8,0.4,1.5,4.2,9.7,0.8,1.1,2022-01-13
Kemba Walker,48.0,1.7,10.6,2.1,3.2,1.0,0.2,1.5,4.0,9.6,0.8,1.0,2022-01-13
Bones Hyland,65.0,2.0,11.3,1.7,2.0,0.6,0.2,1.4,3.9,9.1,1.5,1.6,2022-01-13
RJ Barrett,75.0,2.0,16.0,5.9,2.1,0.4,0.3,2.2,5.8,13.6,2.4,3.3,2022-01-13
Jeff Green,70.0,1.3,10.5,3.8,1.6,0.5,0.4,0.8,3.7,7.6,1.8,2.2,2022-01-13
Grayson Allen,68.0,2.4,9.2,3.1,1.4,0.6,0.3,0.6,3.0,7.1,0.8,1.0,2022-01-13
Matisse Thybulle,62.0,0.7,5.2,1.9,1.0,1.3,0.9,0.7,2.1,4.8,0.2,0.3,2022-01-13
Marquese Chriss,31.0,0.0,6.0,8.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,2022-01-13
Luke Kennard,66.0,2.4,11.0,2.9,2.2,0.6,0.1,0.9,4.0,9.3,0.6,0.7,2022-01-13
Dennis Smith Jr.,55.0,0.7,7.2,2.5,4.0,1.1,0.6,2.2,2.6,6.0,1.4,1.8,2022-01-13
Gabe Vincent,68.0,1.8,9.5,2.3,2.4,0.9,0.3,1.4,3.5,8.1,0.7,0.9,2022-01-13
Brandon Clarke,70.0,0.0,8.6,4.9,1.3,0.4,0.8,0.5,3.8,6.1,1.1,1.6,2022-01-13
Joe Ingles,71.0,1.7,7.7,3.3,3.5,0.6,0.2,1.1,2.7,6.2,0.5,0.6,2022-01-13
Danilo Gallinari,65.0,1.4,9.4,4.0,1.0,0.4,0.1,1.0,2.8,6.6,2.3,2.4,2022-01-13
Kevon Looney,69.0,0.1,6.8,6.0,1.7,0.6,0.8,0.6,3.1,5.7,0.5,0.8,2022-01-13
Kenrich Williams,60.0,0.9,7.8,3.9,2.2,1.0,0.3,1.2,3.2,5.9,0.6,1.0,2022-01-13
Marvin Bagley III,49.0,0.6,9.6,7.6,1.3,0.3,0.5,0.9,3.9,7.8,1.2,1.7,2022-01-13
Kendrick Nunn,74.0,1.5,10.0,2.2,1.8,0.7,0.2,1.0,3.9,8.0,0.7,0.8,2022-01-13
Malik Beasley,70.0,2.7,11.3,3.0,1.6,0.6,0.1,1.1,3.7,8.9,1.1,1.4,2022-01-13
Hassan Whiteside,72.0,0.0,8.3,6.5,0.6,0.3,1.4,1.1,3.5,6.2,1.3,2.2,2022-01-13
Tyus Jones,70.0,0.8,8.0,2.3,4.9,0.8,0.1,0.9,3.3,7.7,0.7,0.8,2022-01-13
Andre Iguodala,30.0,0.7,4.7,3.8,3.5,0.7,0.7,1.3,1.8,4.3,0.3,0.4,2022-01-13
Larry Nance Jr.,68.0,0.4,6.9,5.9,2.0,1.1,0.5,1.2,2.9,5.9,0.8,1.3,2022-01-13
Mason Plumlee,60.0,0.0,6.5,6.8,2.1,0.6,0.9,1.2,2.5,4.3,1.5,2.4,2022-01-13
Obi Toppin,73.0,0.6,10.1,4.4,1.0,0.3,0.7,0.9,4.0,7.7,1.5,1.9,2022-01-13
Killian Hayes,68.0,0.9,7.5,2.8,4.1,1.0,0.4,2.0,2.6,7.4,1.5,1.7,2022-01-13
Daniel Theis,60.0,0.7,8.0,5.0,1.6,0.6,0.8,0.9,3.2,6.6,1.0,1.5,2022-01-13
Willy Hernangomez,61.0,0.2,7.9,5.9,1.4,0.4,0.4,1.2,3.3,5.2,1.1,1.5,2022-01-13
Darius Bazley,70.0,1.0,9.7,6.4,1.3,0.7,1.0,1.6,3.6,9.1,1.6,2.3,2022-01-13
George Hill,70.0,1.0,7.3,1.6,2.9,0.8,0.2,0.8,2.5,5.2,1.2,1.4,2022-01-13
Naz Reid,76.0,0.8,8.4,4.3,0.9,0.5,1.0,0.9,3.0,6.3,1.5,2.1,2022-01-13
Caleb Martin,60.0,1.1,9.0,3.2,1.4,0.9,0.7,0.7,3.3,6.8,1.3,2.0,2022-01-13
Trevor Ariza,38.0,1.3,7.4,3.6,1.3,0.7,0.4,0.5,2.6,6.0,0.9,1.1,2022-01-13
Haywood Highsmith,11.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2022-01-13
Derrick Walton Jr.,11.0,0.0,0.0,4.0,6.0,1.0,2.0,2.0,0.0,5.0,0.0,0.0,2022-01-13
KJ Martin Jr.,62.0,0.7,7.9,4.6,0.9,0.6,0.8,0.7,3.1,6.0,1.1,1.6,2022-01-13
Justin Holiday,68.0,2.1,10.2,3.0,1.5,0.5,0.5,0.7,3.6,8.8,0.8,1.1,2022-01-13
Trey Lyles,60.0,1.1,10.5,5.7,0.7,0.4,0.4,0.5,3.6,8.0,2.1,2.7,2022-01-13
Coby White,62.0,1.5,10.9,2.9,2.6,0.5,0.2,1.4,4.0,9.6,1.4,1.6,2022-01-13
Davion Mitchell,70.0,1.3,10.7,2.5,3.4,0.9,0.2,1.3,4.1,10.0,1.1,1.6,2022-01-13
James Wiseman,48.0,0.3,11.8,5.9,0.7,0.3,0.9,1.5,5.0,9.7,1.4,2.3,2022-01-13
Yuta Watanabe,20.0,1.2,6.9,3.6,1.0,0.6,0.7,0.3,2.3,5.7,1.0,1.3,2022-01-13
Davon Reed,36.0,0.5,3.2,3.8,1.3,1.5,0.2,0.3,1.2,3.2,0.3,0.3,2022-01-13
Terrence Ross,68.0,1.5,11.7,2.8,2.2,0.6,0.3,1.7,4.1,10.5,2.0,2.3,2022-01-13
Frank Kaminsky,40.0,0.9,8.4,5.0,2.1,0.4,0.5,0.6,3.2,6.8,1.1,1.6,2022-01-13
Lonnie Walker IV,74.0,1.5,11.1,2.7,2.7,0.7,0.3,1.5,4.2,10.2,1.1,1.4,2022-01-13
Juan Toscano-Anderson,68.0,0.6,5.0,4.0,2.5,0.6,0.5,1.1,2.0,3.9,0.4,0.5,2022-01-13
Patrick Williams,5.0,0.7,7.9,3.9,1.2,0.8,0.5,1.2,3.1,6.3,1.1,1.5,2022-01-13
Tre Mann,68.0,1.2,9.4,3.4,1.2,1.0,0.2,1.2,3.6,8.6,1.0,1.2,2022-01-13
Saben Lee,40.0,0.5,6.6,2.2,4.0,1.1,0.3,1.2,2.3,5.3,1.4,2.0,2022-01-13
Thaddeus Young,50.0,0.1,6.5,3.4,2.3,0.9,0.5,1.1,2.9,5.3,0.5,0.9,2022-01-13
Hamidou Diallo,70.0,0.5,11.6,3.8,0.9,0.7,0.5,1.6,4.4,8.7,2.2,3.1,2022-01-13
Kyle Guy,21.0,1.5,9.3,2.4,2.4,1.0,0.2,1.2,3.6,8.4,0.6,0.9,2022-01-13
Jeremy Lamb,60.0,0.8,7.3,2.7,1.1,0.7,0.5,0.5,2.5,5.8,1.5,1.7,2022-01-13
Cory Joseph,68.0,0.6,6.8,2.1,3.8,0.8,0.3,1.4,2.6,6.0,1.0,1.2,2022-01-13
Rudy Gay,68.0,1.6,8.7,4.6,1.1,0.5,0.4,0.9,3.1,7.0,1.0,1.4,2022-01-13
Jordan Nwora,68.0,1.3,8.2,4.5,1.0,0.4,0.5,1.1,3.0,6.5,1.0,1.2,2022-01-13
Frank Jackson,60.0,2.0,11.7,1.5,1.4,0.4,0.2,1.0,4.0,9.4,1.6,1.8,2022-01-13
Alex Len,56.0,0.5,6.3,4.4,0.9,0.3,1.1,1.0,2.2,4.2,1.3,2.0,2022-01-13
Onyeka Okongwu,40.0,0.0,6.0,3.8,0.5,0.6,0.8,0.7,2.4,4.0,1.2,1.7,2022-01-13
De'Andre Hunter,35.0,1.1,10.0,3.2,0.9,0.6,0.4,1.1,4.0,8.8,0.9,1.2,2022-01-13
Jeremiah Robinson-Earl,65.0,1.0,8.0,6.1,0.9,0.5,0.4,1.0,3.4,8.0,0.3,0.5,2022-01-13
Oshae Brissett,60.0,1.0,6.7,3.5,0.6,0.6,0.6,0.3,2.3,4.6,1.0,1.5,2022-01-13
Armoni Brooks,43.0,1.9,7.2,1.8,1.9,0.7,0.2,0.8,2.3,5.8,0.8,0.9,2022-01-13
Isaiah Thomas,21.0,1.9,12.1,1.5,2.6,0.6,0.1,2.1,4.3,10.4,1.6,2.0,2022-01-13
Dwight Howard,74.0,0.2,5.3,5.7,0.7,0.7,0.8,1.0,1.9,2.9,1.3,2.2,2022-01-13
JaMychal Green,70.0,0.7,6.4,4.3,1.0,0.8,0.4,0.8,2.5,5.8,0.7,0.9,2022-01-13
Blake Griffin,60.0,0.9,9.2,3.5,2.1,0.7,0.5,0.9,3.7,9.0,0.9,1.2,2022-01-13
Xavier Tillman,67.0,0.3,6.7,3.6,1.1,1.0,0.5,0.8,3.0,6.3,0.5,0.7,2022-01-13
Greg Monroe,11.0,0.0,5.3,4.4,2.9,0.3,0.5,1.0,2.5,4.4,0.4,0.6,2022-01-13
Isaiah Roby,60.0,0.5,7.0,4.0,0.9,0.6,0.6,1.0,2.7,5.5,1.1,1.5,2022-01-13
Avery Bradley,45.0,1.4,6.4,2.7,0.9,0.9,0.2,0.4,2.3,5.4,0.5,0.6,2022-01-13
Torrey Craig,62.0,0.8,5.9,3.7,1.1,0.6,0.3,0.7,2.3,4.8,0.4,0.5,2022-01-13
Dean Wade,55.0,1.2,5.9,3.1,1.1,0.7,0.3,0.5,2.1,4.5,0.5,0.6,2022-01-13
Jaxson Hayes,67.0,0.3,6.6,3.7,0.5,0.4,0.5,0.6,2.5,4.1,1.3,1.7,2022-01-13
Kira Lewis Jr,24.0,0.8,7.5,1.6,2.7,0.8,0.2,0.7,2.9,7.2,1.0,1.1,2022-01-13
Josh Christopher,44.0,0.9,9.4,1.9,2.4,0.8,0.0,3.0,3.7,7.6,1.1,1.4,2022-01-13
Khyri Thomas,26.0,0.7,6.3,1.5,2.0,0.7,0.5,0.5,2.4,5.4,0.7,1.0,2022-01-13
DeAndre' Bembry,60.0,0.3,6.3,3.3,1.2,0.8,0.5,1.0,2.5,4.7,0.9,1.4,2022-01-13
Landry Shamet,70.0,1.8,8.3,2.1,1.4,0.4,0.2,0.7,2.7,6.6,1.0,1.1,2022-01-13
Taj Gibson,50.0,0.1,3.8,4.9,0.7,0.6,0.8,0.4,1.5,3.3,0.8,1.0,2022-01-13
Enes Freedom,47.0,0.0,5.9,6.2,0.7,0.3,0.6,0.6,2.5,5.0,1.0,1.3,2022-01-13
Doug McDermott,74.0,2.1,11.2,2.7,1.3,0.3,0.1,0.8,4.3,9.2,0.6,0.9,2022-01-13
Robin Lopez,34.0,0.1,8.5,4.1,1.0,0.2,0.6,1.0,3.6,6.0,1.2,1.8,2022-01-13
DeAndre Jordan,60.0,0.0,4.6,5.3,1.1,0.3,1.0,1.1,2.0,3.1,0.6,1.1,2022-01-13
Dwight Powell,68.0,0.1,5.7,4.3,1.2,0.6,0.5,0.7,2.0,3.5,1.6,2.2,2022-01-13
Gary Harris,60.0,1.3,10.8,1.4,2.0,0.7,0.2,1.2,4.0,9.7,1.5,2.0,2022-01-13
Mike Muscala,52.0,1.6,8.2,3.2,0.7,0.2,0.3,0.5,2.9,6.5,0.8,0.9,2022-01-13
Jalen McDaniels,64.0,1.3,6.9,2.8,0.9,0.5,0.3,0.8,2.4,4.7,0.8,1.1,2022-01-13
Wayne Ellington,69.0,2.1,7.0,1.5,1.1,0.7,0.2,0.5,2.2,5.4,0.4,0.6,2022-01-13
Omer Yurtseven,54.0,0.1,8.0,8.8,0.6,0.3,0.6,1.5,3.5,7.6,0.9,1.4,2022-01-13
Stanley Johnson,11.0,1.0,6.6,1.8,1.0,0.7,0.0,0.0,2.0,4.0,1.6,2.0,2022-01-13
Aleksej Pokusevski,70.0,1.0,6.5,3.8,1.4,0.5,0.6,1.4,2.4,6.3,0.6,0.8,2022-01-13
Tony Bradley,70.0,0.0,5.2,4.2,0.7,0.3,0.5,0.6,2.3,3.4,0.7,0.9,2022-01-13
Amir Coffey,54.0,1.2,7.4,3.1,1.5,0.6,0.2,0.6,2.5,5.5,1.3,1.8,2022-01-13
Gorgui Dieng,54.0,0.6,4.5,5.9,0.9,0.3,0.3,0.6,1.5,3.0,1.0,1.3,2022-01-13
Bryn Forbes,68.0,1.8,9.4,1.3,1.1,0.3,0.0,0.6,3.4,7.5,0.8,0.9,2022-01-13
Georges Niang,61.0,1.7,9.2,2.1,1.2,0.3,0.3,0.5,3.7,8.4,0.2,0.2,2022-01-13
Damion Lee,50.0,1.1,8.3,3.5,1.0,0.4,0.1,0.6,3.2,7.3,0.8,1.0,2022-01-13
David Duke Jr.,34.0,0.3,6.3,5.5,1.5,1.0,0.5,0.5,2.5,8.0,1.0,1.3,2022-01-13
Serge Ibaka,64.0,0.6,6.8,4.3,1.2,0.1,0.5,0.9,2.7,5.7,0.7,0.8,2022-01-13
D.J. Augustin,60.0,1.2,6.4,1.4,2.7,0.4,0.0,0.9,2.0,4.7,1.2,1.4,2022-01-13
Derrick Jones Jr.,70.0,0.6,7.3,2.8,0.6,0.5,0.7,0.5,3.0,6.1,0.8,1.3,2022-01-13
Wesley Matthews,34.0,1.2,5.9,1.7,0.4,0.6,0.4,0.6,2.3,5.0,0.1,0.2,2022-01-13
Moritz Wagner,30.0,1.0,5.8,2.6,0.9,0.5,0.3,0.8,1.9,4.1,1.1,1.4,2022-01-13
Miles McBride,32.0,1.0,6.6,1.5,2.3,0.7,0.1,1.0,2.6,6.0,0.6,0.7,2022-01-13
Jeff Teague,70.0,0.7,6.4,1.5,2.3,0.6,0.2,1.1,2.1,5.0,1.5,1.8,2022-01-13
B.J. Johnson,31.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,2022-01-13
Raul Neto,63.0,0.5,7.7,2.2,2.5,0.7,0.1,1.1,3.2,7.0,0.8,1.1,2022-01-13
Furkan Korkmaz,71.0,1.2,8.4,2.9,2.2,0.6,0.2,0.9,3.1,8.2,1.2,1.5,2022-01-13
Tristan Thompson,71.0,0.0,7.6,6.3,0.9,0.4,0.4,1.1,3.3,6.3,1.0,1.6,2022-01-13
Malik Newman,11.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,2.0,2.0,2022-01-13
Derrick Favors,60.0,0.0,5.9,5.0,0.7,0.6,0.4,0.6,2.5,5.0,1.0,1.4,2022-01-13
D.J. Wilson,11.0,0.0,5.6,4.0,2.0,0.5,0.4,1.0,2.0,4.0,1.5,2.0,2022-01-13
Markieff Morris,64.0,1.0,6.9,3.6,1.2,0.4,0.3,0.9,2.7,6.1,0.6,0.8,2022-01-13
Josh Jackson,60.0,0.9,6.9,3.0,1.3,0.6,0.6,1.7,2.5,6.0,1.2,1.6,2022-01-13
Garrett Temple,60.0,0.9,5.5,2.1,1.6,0.6,0.4,0.7,2.1,5.0,0.5,0.7,2022-01-13
Svi Mykhailiuk,46.0,1.0,6.3,3.6,1.0,0.6,0.1,1.0,2.1,5.3,1.0,1.2,2022-01-13
Payton Pritchard,72.0,1.3,5.8,1.9,1.9,0.5,0.1,0.6,2.0,4.7,0.5,0.6,2022-01-13
Juwan Morgan,11.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2022-01-13
Ben McLemore,58.0,1.9,7.3,1.6,0.6,0.3,0.2,0.7,2.4,5.4,0.7,0.8,2022-01-13
Trey Murphy III,70.0,1.2,5.8,1.9,0.8,0.5,0.3,0.6,2.1,4.7,0.5,0.6,2022-01-13
Trey Burke,48.0,0.9,7.7,0.9,1.3,0.5,0.1,0.5,3.0,6.7,0.9,1.0,2022-01-13
JJ Redick,60.0,1.6,7.7,1.6,1.2,0.3,0.1,0.8,2.5,6.3,1.1,1.2,2022-01-13
John Konchar,44.0,0.5,5.2,3.5,1.5,0.5,0.1,1.0,2.1,4.1,0.4,0.6,2022-01-13
Reggie Bullock,74.0,1.4,6.9,2.7,1.2,0.4,0.2,0.6,2.5,6.4,0.6,0.7,2022-01-13
Kessler Edwards,32.0,1.1,6.3,2.5,0.9,0.3,0.4,0.9,2.5,5.7,0.1,0.1,2022-01-13
Kent Bazemore,67.0,0.8,4.9,2.3,0.8,0.8,0.3,0.8,1.7,4.1,0.8,1.0,2022-01-13
Tomas Satoransky,67.0,0.4,4.8,1.5,3.0,0.4,0.1,1.1,1.8,3.8,0.8,0.9,2022-01-13
Aaron Holiday,30.0,0.6,6.3,1.5,2.0,0.5,0.3,1.3,2.6,5.4,0.6,0.8,2022-01-13
Cassius Stanley,11.0,1.0,5.5,2.0,2.0,0.6,0.2,0.0,1.5,4.0,1.5,2.0,2022-01-13
Tremont Waters,11.0,1.2,5.2,1.7,3.4,0.7,0.0,2.3,1.7,5.0,0.6,0.7,2022-01-13
Josh Okogie,68.0,0.3,4.0,2.7,1.1,0.9,0.5,0.7,1.7,4.3,0.4,0.6,2022-01-13
Brandon Knight,12.0,1.0,6.0,2.0,1.5,0.0,0.0,1.0,1.5,4.0,2.0,2.0,2022-01-13
Nemanja Bjelica,62.0,0.9,6.1,3.0,1.7,0.4,0.2,0.8,2.2,4.9,0.8,1.1,2022-01-13
Justin Anderson,12.0,1.0,5.5,2.5,2.0,0.5,0.0,1.0,2.0,3.0,0.5,1.0,2022-01-13
Javonte Green,45.0,0.6,5.0,4.2,0.8,0.2,0.4,0.2,1.8,3.7,0.8,1.1,2022-01-13
Ish Smith,68.0,0.5,6.1,1.9,2.9,0.5,0.2,0.8,2.5,6.0,0.5,0.8,2022-01-13
Taurean Prince,70.0,0.7,6.2,2.7,1.5,0.5,0.5,0.8,2.3,6.1,0.8,1.1,2022-01-13
Bismack Biyombo,68.0,0.0,4.7,5.0,1.1,0.3,1.0,1.0,2.1,3.5,0.7,1.5,2022-01-13
Cheick Diallo,12.0,0.0,5.5,4.5,0.0,0.5,0.0,0.5,1.5,3.0,2.5,3.0,2022-01-13
PJ Dozier,18.0,0.7,5.8,2.8,1.4,0.5,0.3,0.7,2.2,5.6,0.6,0.8,2022-01-13
James Ennis III,31.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,2022-01-13
Cameron Thomas,60.0,1.0,8.1,2.6,1.3,0.3,0.1,1.1,3.2,7.4,0.7,0.8,2022-01-13
Naji Marshall,50.0,0.6,4.9,3.2,1.9,0.6,0.2,0.8,1.5,3.8,1.2,1.6,2022-01-13
Sterling Brown,50.0,0.8,5.3,3.3,1.0,0.6,0.1,0.8,2.0,4.7,0.6,0.8,2022-01-13
R.J. Hampton,64.0,0.8,7.7,3.9,2.2,0.4,0.2,1.4,2.9,6.9,1.2,1.8,2022-01-13
Drew Eubanks,60.0,0.0,4.3,3.5,0.6,0.2,0.7,0.9,1.8,3.4,0.8,1.1,2022-01-13
Moses Moody,65.0,0.9,6.6,2.0,0.9,0.5,0.3,0.8,2.4,5.8,0.8,1.0,2022-01-13
Lou Williams,50.0,0.6,6.3,1.2,1.9,0.4,0.1,0.9,2.2,5.1,1.3,1.4,2022-01-13
Aron Baynes,20.0,0.4,5.3,4.5,0.8,0.3,0.3,0.8,2.2,4.9,0.5,0.7,2022-01-13
Boban Marjanovic,44.0,0.0,5.8,4.8,0.4,0.1,0.3,0.5,2.3,4.6,1.1,1.4,2022-01-13
Zeke Nnaji,42.0,1.0,5.7,2.8,0.3,0.2,0.4,0.8,2.1,4.6,0.4,0.6,2022-01-13
Yogi Ferrell,30.0,0.7,4.5,1.5,1.8,0.6,0.2,0.2,1.6,4.0,0.6,0.7,2022-01-13
Alfonzo McKinnie,31.0,2.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,2022-01-13
Hassani Gravett,31.0,2.0,6.0,2.0,3.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,2022-01-13
Precious Achiuwa,70.0,0.1,8.9,7.3,1.7,0.5,0.4,1.2,3.7,7.8,1.5,2.8,2022-01-13
Nick Richards,44.0,0.0,3.4,1.8,0.1,0.1,0.9,0.6,1.5,2.3,0.4,0.5,2022-01-13
David Nwaba,50.0,0.4,5.4,2.4,0.6,0.6,0.4,0.4,2.0,4.4,1.0,1.4,2022-01-13
Moe Harkless,70.0,0.5,4.2,2.4,1.1,0.5,0.5,0.6,1.5,3.5,0.8,1.1,2022-01-13
Freddie Gillespie,18.0,0.0,4.7,2.9,0.2,0.4,0.6,0.4,1.9,3.7,0.9,1.2,2022-01-13
Paul Reed,40.0,0.0,3.7,2.5,0.5,0.4,0.5,0.5,1.7,3.2,0.2,0.3,2022-01-13
Killian Tillie,30.0,0.9,4.1,1.6,0.5,0.4,0.5,0.1,1.3,3.3,0.6,0.7,2022-01-13
James Johnson,30.0,0.3,4.9,2.7,1.2,0.5,0.5,0.7,2.0,4.5,0.6,1.0,2022-01-13
Jalen Smith,45.0,0.5,5.5,3.3,0.2,0.0,0.5,0.7,2.2,4.6,0.6,0.7,2022-01-13
Kelan Martin,44.0,0.8,7.0,1.6,1.0,0.4,0.3,0.7,3.0,7.0,0.2,0.3,2022-01-13
Cody Zeller,68.0,0.1,5.0,3.6,0.9,0.3,0.2,0.5,2.0,3.6,0.9,1.3,2022-01-13
Malcolm Hill,12.0,0.0,2.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2022-01-13
Aaron Wiggins,58.0,1.1,6.7,2.9,1.3,0.4,0.1,1.2,2.5,5.1,0.7,1.2,2022-01-13
KZ Okpala,57.0,0.6,4.5,2.2,0.6,0.4,0.4,0.5,1.7,3.6,0.5,0.7,2022-01-13
Damian Jones,40.0,0.1,4.6,3.6,0.7,0.1,0.4,0.3,1.7,3.0,1.0,1.4,2022-01-13
Kai Jones,30.0,0.1,4.3,2.6,0.1,0.4,0.7,0.8,1.9,3.4,0.5,0.8,2022-01-13
Jordan McLaughlin,64.0,0.4,2.9,2.1,3.0,0.6,0.1,1.0,1.0,2.9,0.4,0.6,2022-01-13
Delon Wright,68.0,0.4,3.4,1.5,1.6,0.6,0.2,0.5,1.2,3.0,0.6,0.7,2022-01-13
